[ 2025-05-06 10:55:36,912 ] 15 root - INFO - Initiate the data ingestion
[ 2025-05-06 10:55:40,888 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-06 10:55:40,888 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-06 10:55:40,888 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-06 10:55:40,939 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-06 10:55:40,939 ] 17 root - INFO - Data Initiation Completed
[ 2025-05-06 10:55:40,945 ] 21 root - INFO - Initiate the data Validation
[ 2025-05-06 10:55:40,998 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 10:55:40,998 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 10:55:41,123 ] 23 root - INFO - data Validation Completed
[ 2025-05-06 10:55:41,124 ] 26 root - INFO - data Transformation started
[ 2025-05-06 10:55:41,124 ] 50 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-06 10:55:41,124 ] 52 root - INFO - Starting Data transformation
[ 2025-05-06 10:55:41,145 ] 36 root - INFO - Entered det_data_transformer_object method for Transformation class
[ 2025-05-06 10:55:41,147 ] 30 root - INFO - data Transformation completed
