[ 2025-05-06 15:59:41,547 ] 17 root - INFO - Initiate the data ingestion
[ 2025-05-06 15:59:47,574 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-06 15:59:47,574 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-06 15:59:47,575 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-06 15:59:47,620 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-06 15:59:47,620 ] 19 root - INFO - Data Initiation Completed
[ 2025-05-06 15:59:47,626 ] 23 root - INFO - Initiate the data Validation
[ 2025-05-06 15:59:47,678 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 15:59:47,678 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 15:59:47,798 ] 25 root - INFO - data Validation Completed
[ 2025-05-06 15:59:47,798 ] 28 root - INFO - data Transformation started
[ 2025-05-06 15:59:47,798 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-06 15:59:47,799 ] 65 root - INFO - Starting data transformation
[ 2025-05-06 15:59:47,819 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-06 15:59:47,820 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-06 15:59:47,830 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 15:59:47,833 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 15:59:47,833 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 15:59:47,835 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 15:59:47,835 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 15:59:47,837 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 15:59:47,837 ] 32 root - INFO - data Transformation completed
[ 2025-05-06 15:59:47,839 ] 33 root - INFO - Model Training stared
[ 2025-05-06 16:00:36,407 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 16:00:36,450 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 16:00:36,450 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 16:00:36,485 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 16:00:36,485 ] 132 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_06_2025_15_59_36\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915065722952477, precision_score=0.9905050505050506, recall_score=0.9925101214574898), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9726418946508779, precision_score=0.9667207792207793, recall_score=0.9786359901396877))
[ 2025-05-06 16:00:36,488 ] 38 root - INFO - Model Training artifact created
