[ 2025-05-06 10:53:23,758 ] 15 root - INFO - Initiate the data ingestion
[ 2025-05-06 10:53:27,577 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-06 10:53:27,577 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-06 10:53:27,577 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-06 10:53:27,627 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-06 10:53:27,627 ] 17 root - INFO - Data Initiation Completed
[ 2025-05-06 10:53:27,646 ] 21 root - INFO - Initiate the data Validation
[ 2025-05-06 10:53:27,696 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 10:53:27,696 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 10:53:27,827 ] 23 root - INFO - data Validation Completed
[ 2025-05-06 10:53:27,827 ] 26 root - INFO - data Transformation started
[ 2025-05-06 10:53:27,827 ] 50 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-06 10:53:27,827 ] 52 root - INFO - Starting Data transformation
[ 2025-05-06 10:53:27,847 ] 36 root - INFO - Entered det_data_transformer_object method for Transformation class
[ 2025-05-06 10:53:27,847 ] 30 root - INFO - data Transformation completed
