[ 2025-05-06 15:27:44,043 ] 17 root - INFO - Initiate the data ingestion
[ 2025-05-06 15:27:54,623 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-06 15:27:54,623 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-06 15:27:54,625 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-06 15:27:54,677 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-06 15:27:54,677 ] 19 root - INFO - Data Initiation Completed
[ 2025-05-06 15:27:54,684 ] 23 root - INFO - Initiate the data Validation
[ 2025-05-06 15:27:54,743 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 15:27:54,743 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 15:27:54,867 ] 25 root - INFO - data Validation Completed
[ 2025-05-06 15:27:54,868 ] 28 root - INFO - data Transformation started
[ 2025-05-06 15:27:54,868 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-06 15:27:54,868 ] 65 root - INFO - Starting data transformation
[ 2025-05-06 15:27:54,890 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-06 15:27:54,891 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-06 15:27:54,904 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 15:27:54,907 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 15:27:54,907 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 15:27:54,911 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 15:27:54,912 ] 32 root - INFO - data Transformation completed
[ 2025-05-06 15:27:54,912 ] 33 root - INFO - Model Training stared
[ 2025-05-06 15:28:01,851 ] 45 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-06 15:28:01,894 ] 49 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-06 15:28:01,894 ] 137 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_06_2025_15_27_40\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9907829433809379, precision_score=0.990080971659919, recall_score=0.9914859112102169), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9748987854251012, precision_score=0.9662921348314607, recall_score=0.9836601307189542))
[ 2025-05-06 15:28:01,898 ] 38 root - INFO - Model Training artifact created
