[ 2025-05-06 10:57:18,359 ] 15 root - INFO - Initiate the data ingestion
[ 2025-05-06 10:57:22,640 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-06 10:57:22,640 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-06 10:57:22,640 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-06 10:57:22,687 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-06 10:57:22,687 ] 17 root - INFO - Data Initiation Completed
[ 2025-05-06 10:57:22,693 ] 21 root - INFO - Initiate the data Validation
[ 2025-05-06 10:57:22,743 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 10:57:22,743 ] 34 root - INFO - Required number of columns2
[ 2025-05-06 10:57:22,855 ] 23 root - INFO - data Validation Completed
[ 2025-05-06 10:57:22,855 ] 26 root - INFO - data Transformation started
[ 2025-05-06 10:57:22,855 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-06 10:57:22,855 ] 65 root - INFO - Starting data transformation
[ 2025-05-06 10:57:22,875 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
